Latitude,Longitude,Methane (CH4) emissions metric tons carbon equivalent,Industry Type (sectors),Facility Name,Address,City,State,Zip Code,County
31.97,-101.24,3585.68783838202,Petroleum and Natural Gas Systems,Sterling Gas Plant,14206 US Highway 87 N,Sterling,TX,76951,STERLING COUNTY
41.65,-86.90,3584,Waste,DEERCROFT RECYCLING AND DISPOSAL FACILITY (RDF),10501 WEST 300 NORTH,MICHIGAN CITY,IN,46360,LAPORTE COUNTY
33.41,-85.03,3571.25,Power Plants,Wansley (6052),3461 HOLLINGSWORTH FERRY ROAD,FRANKLIN,GA,30170,Heard
31.28,-95.52,3557,Petroleum and Natural Gas Systems,Alamo Gas Plant,1277 CR 3020,Crockett,TX,75835,HOUSTON COUNTY
34.85,-97.57,3548.25,Petroleum and Natural Gas Systems,Grady Gas Plant,2333 County Road 1560,Lindsay,OK,73052,
35.06,-119.02,3545,Petroleum and Natural Gas Systems,Southern California Gas Co Wheeler Ridge station,9530 Highway 166,Mettler,CA,93313,KERN COUNTY
39.14,-94.40,3515.5,Waste,Rumble Landfill #2,2031 N. Courtney Road,Sugar Creek,MO,64050,JACKSON COUNTY
42.73,-71.12,3510.5,Waste,WHEELABRATOR NORTH ANDOVER INC.,285 HOLT ROAD,NORTH ANDOVER,MA,1845,ESSEX COUNTY
33.10,-117.18,3508.75,Waste,SAN MARCOS LANDFILL,1595 SAN ELIJO ROAD,SAN MARCOS,CA,92069,SAN DIEGO COUNTY
31.75,-103.16,3497.25,Petroleum and Natural Gas Systems,"EPNG Station 6398, Wink, TX",6963 County Road 201,Wink,TX,79789,WINKLER COUNTY
34.06,-101.85,3495.5,Petroleum and Natural Gas Systems,Northern Natural Gas - Plainview Compressor Station,1301 CR 105A,Hale,TX,79714,
36.71,-101.48,3494.25,"Other,Waste",Seaboard Foods Pork Processing Plant,2700 NE 28th Street,Guymon,OK,73942,TEXAS COUNTY
40.47,-89.03,3493.25,Waste,ADS/MCLEAN COUNTY LANDFILL,2105 W OAKLAND AVE,BLOOMINGTON,IL,61704,MCLEAN COUNTY
